"host_is_superhost"	"host_identity_verified"	"bathrooms"	"bedrooms"	"beds"	"Private room"	"Entire home/apt"	"Shared room"	"Real Bed"	"Pull-out Sofa"	"Futon"	"Airbed"	"Couch"	"price"
0	1	1.5	1	1	1	0	0	1	0	0	0	0	170
0	0	1	2	1	0	1	0	1	0	0	0	0	150
1	0	2	3	4	0	1	0	1	0	0	0	0	500
0	0	1.5	2	2	0	1	0	1	0	0	0	0	429
0	1	1	2	3	0	1	0	1	0	0	0	0	300
0	1	1	1	1	1	0	0	1	0	0	0	0	100
0	1	1.5	2	2	0	1	0	1	0	0	0	0	250
0	1	1	3	3	0	1	0	1	0	0	0	0	350
0	1	1	1	2	1	0	0	1	0	0	0	0	255
0	0	1	1	1	0	1	0	1	0	0	0	0	265
0	1	1	1	1	0	1	0	1	0	0	0	0	190
0	1	1	1	1	1	0	0	1	0	0	0	0	100
0	1	1	1	1	0	1	0	1	0	0	0	0	185
0	1	1.5	1	1	0	1	0	1	0	0	0	0	100
0	0	1	1	1	1	0	0	1	0	0	0	0	40
0	0	1	1	1	1	0	0	1	0	0	0	0	80
1	0	1	1	1	0	1	0	1	0	0	0	0	100
0	1	1	1	1	1	0	0	1	0	0	0	0	80
0	1	1	2	4	0	1	0	1	0	0	0	0	172
0	0	1	1	1	0	1	0	1	0	0	0	0	199
0	1	1	1	1	1	0	0	1	0	0	0	0	250
0	1	1	2	2	0	1	0	1	0	0	0	0	225
0	1	1	1	2	1	0	0	1	0	0	0	0	270
0	1	1	1	2	1	0	0	1	0	0	0	0	55
0	1	1	2	2	0	1	0	1	0	0	0	0	160
0	0	1	1	1	0	1	0	1	0	0	0	0	241
0	1	1	1	1	0	1	0	1	0	0	0	0	300
0	1	1	1	1	0	1	0	1	0	0	0	0	100
0	1	1	1	1	0	1	0	1	0	0	0	0	80
0	0	1	1	1	0	1	0	1	0	0	0	0	110
0	0	1	1	1	0	1	0	0	0	1	0	0	280
0	1	1	1	1	1	0	0	1	0	0	0	0	85
0	1	1	1	1	0	1	0	1	0	0	0	0	135
0	1	1	1	1	0	1	0	1	0	0	0	0	246
0	0	1	1	1	1	0	0	1	0	0	0	0	100
0	0	1	1	1	1	0	0	1	0	0	0	0	150
0	1	1	1	1	1	0	0	1	0	0	0	0	125
0	1	2	2	2	0	1	0	1	0	0	0	0	400
0	0	1	1	1	1	0	0	1	0	0	0	0	69
0	1	1	1	2	1	0	0	1	0	0	0	0	349
0	1	1	1	2	1	0	0	1	0	0	0	0	249
0	1	1	1	2	1	0	0	1	0	0	0	0	299
0	1	1	1	1	1	0	0	1	0	0	0	0	179
0	0	1	1	1	1	0	0	1	0	0	0	0	75
0	1	1.5	1	1	1	0	0	1	0	0	0	0	50
