"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
18,40.5781,-73.95455,1,1,1,2,0,0,1,0,0,"$50  AND $100"
176,40.73041,-74.00498,1,1,1,1,1,0,1,0,0,">  $100"
42,40.6764,-73.96218,23,1.5,2,1,1,0,1,0,0,">  $100"
101,40.77548,-73.95183,1,1,1,1,0,0,0,1,0,">  $100"
18,40.66859,-73.98235,29,2,4,4,0,1,1,0,0,">  $100"
18,40.68813,-73.92817,21,2.5,2,2,1,1,1,0,0,">  $100"
181,40.71164,-73.965,1,1,1,1,0,1,1,0,0,">  $100"
128,40.67267,-73.98348,1,1,1,1,0,0,0,1,0,">  $100"
101,40.73204,-74.00189,1,1,2,2,0,0,1,0,0,">  $100"
18,40.71613,-73.95837,1,1,1,1,0,0,1,0,0,">  $100"
18,40.68905,-73.9541,1,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.72203,-74.00988,23,2,3,4,0,0,1,0,0,">  $100"
18,40.65955,-73.96066,1,1,1,1,0,1,0,1,0,">  $100"
18,40.6933,-73.90823,1,1,2,2,0,0,1,0,0,"$50  AND $100"
77,40.66387,-73.99077,1,1,1,1,0,0,1,0,0,"$50  AND $100"
27,40.74087,-74.0022599999999,1,1,1,1,0,0,1,0,0,">  $100"
181,40.70821,-73.95352,1,1,2,2,0,1,1,0,0,">  $100"
18,40.68721,-74.00147,1,1,1,1,0,0,0,1,0,"$50  AND $100"
64,40.69011,-73.97691,1,1,1,1,1,0,1,0,0,">  $100"
18,40.66641,-73.98283,21,2.5,4,4,0,0,1,0,0,">  $100"
101,40.78451,-73.97882,1,1,1,3,0,1,1,0,0,">  $100"
154,40.59274,-74.16178,1,1,2,1,0,0,0,1,0,"$50  AND $100"
101,40.79842,-73.96903,1,1,1,1,0,0,1,0,0,">  $100"
181,40.7139,-73.96553,23,1,2,2,0,1,1,0,0,"$50  AND $100"
10,40.68543,-73.93838,1,1,1,3,0,0,1,0,0,">  $100"
27,40.7508599999999,-73.99776,1,1,1,1,0,0,1,0,0,">  $100"
18,40.71915,-73.95581,1,1,2,2,0,0,1,0,0,">  $100"
101,40.82749,-73.9382,1,1,1,1,0,0,0,1,0,">  $100"
